state_name,state,year,Population,Employment,Unemployment ,Unemployment rate,Marginally Food Insecure,Food Insecure,Very Low Food Secure,Gross State Product,Number of low income uninsured children,Percent Low Income Unisured Children,Personal income,Workers' compensation,AFDC/TANF Recipients,AFDC/TANF Caseloads,Food Stamp/SNAP Recipients,Food Stamp/SNAP Caseloads,AFDC/TANF Benefit for 2-Person family,AFDC/TANF Benefit for 3-person family,AFDC/TANF benefit for 4-person family,FS/SNAP Benefit for 1-person family,FS/SNAP Benefit for 2-person family,FS/SNAP Benefit for 3-person family,FS/SNAP Benefit for 4-person family,AFDC/TANF_FS 2-Person Benefit,AFDC/TANF_FS 3-Person Benefit,AFDC/TANF_FS 4-Person Benefit,Child-only AFDC/TANF cases,SSI-Federal,SSI-State,Total SSI,SSI_FS Benefit,Number of Poor (thousands),Poverty Rate,Governor is Democrat (1=Yes),Number in Lower House Democrat,Number in Lower House Republican,Fraction of State House that is Democrat,Number in Upper House Democrat,Number in Upper House Republican,Fraction of State Senate that is Democrat,EITC Phase-In Rate No Dependents,EITC Phase-In Rate 1 Dependent,EITC Phase-In Rate 2 Dependents,EITC Maximum Credit No Dependents,EITC Maximum Credit 1 Dependent,EITC Maximum Credit 2 Dependents,EITC Phase-Out Rate No Dependents,EITC Phase-Out Rate 1 Dependent,EITC Phase-Out Rate 2 Dependents,State EITC Rate,Wisconsin EITC Rate 2 Dependents,Wisconsin EITC Rate 3 Dependents,Refundable State EITC (1=Yes),Federal Minimum Wage,State Minimum Wage,SSI recipients,SSI recipients--Aged,SSI recipients--Blind,SSI recipients--Disabled,Medicaid beneficiaries,WIC participation,NSLP Free Participation,NSLP Reduced Participation,NSLP Total Participation,SBP Free Participation,SBP Reduced Participation,SBP Total Participation
WY,51,1991,457739,223192,11932,5.10,,,,12977,,,8537129,64417,17072,5968,30761,11348,320,360,390,105,193,277,352,508,620,716,447,407,20,427,495,47,9.9,1,22,42,0.34,10,20,0.33,0.0000,0.1670,0.1730,0,1192,1235,0.0000,0.1193,0.1236,0.000,,,0,4.25,1.60,3895,724,54,3117,36804,9272,14546,4976,57793,2339,267,3134
AL,1,1992,4139269,1809337,133696,6.90,,,,81260,,,71714011,54758,141941,50631,549704,207873,123,149,168,111,203,292,370,326,441,538,9877,422,0,422,501,729,17.3,0,83,22,0.79,28,7,0.80,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,146898,44636,1666,100596,466918,118321,258706,39150,550411,97973,6480,119081
AK,2,1992,587073,262980,25797,8.90,,,,22753,,,13956729,11422,31919,10808,37713,12334,821,924,1027,142,261,374,475,1000,1185,1358,865,422,362,784,855,58,10.2,0,23,17,0.58,10,10,0.50,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.75,5444,1160,109,4175,57540,11738,17967,4377,42265,3843,461,5366
AZ,3,1992,3867333,1753764,140227,7.40,,,,82682,,,69549761,212009,180501,63598,457099,166259,266,334,402,111,203,292,370,469,621,746,10695,422,0,422,501,607,15.8,0,27,33,0.45,17,13,0.57,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,57271,12595,782,43894,402212,78902,186473,26728,350459,77848,4681,91226
AR,4,1992,2394098,1073382,82355,7.10,,,,45018,,,39148520,22856,75112,26769,276766,101816,162,204,247,111,203,292,370,365,496,617,5490,422,0,422,501,430,17.5,1,91,9,0.91,31,4,0.89,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,85840,24892,1199,59749,320875,78291,138458,22124,303000,75365,6059,98597
CA,5,1992,30875920,13874246,1435600,9.40,,,,807358,,,695027722,1681413,2306509,806086,2557925,957948,535,663,788,111,203,292,370,672,851,1016,205473,422,223,645,657,5197,16.4,0,47,32,0.59,26,11,0.70,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,956835,334386,22426,600023,4485743,537496,1433437,141181,2206237,506909,15986,552976
CO,6,1992,3459995,1744235,111636,6.00,,,,87302,,,73772066,313873,122379,42081,259693,101916,280,356,432,111,203,292,370,483,636,767,4191,422,56,478,540,376,10.8,1,27,38,0.42,12,23,0.34,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,3.00,46606,9196,507,36903,258690,52029,107867,25266,290103,25097,1705,31898
CT,7,1992,3274997,1693563,133206,7.30,,,,105759,,,93367478,106024,156989,55500,202265,85504,549,680,792,111,203,292,370,682,863,1019,5912,422,325,747,729,321,9.8,0,89,62,0.59,20,16,0.56,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.27,37214,7348,515,29351,316278,61607,78939,14180,215805,23732,1623,31040
DE,8,1992,690158,347194,19785,5.40,,,,22907,,,15635888,12089,26450,10661,50621,18748,270,338,407,111,203,292,370,473,623,750,2199,422,0,422,501,55,7.8,0,17,24,0.41,15,6,0.71,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,8960,1704,120,7136,60696,14305,20296,3083,58626,8294,428,10276
DC,9,1992,584183,290103,27223,8.60,,,,43187,,,17146543,18901,59997,22566,82268,37558,321,409,499,111,203,292,370,523,673,814,3724,422,15,437,512,120,20.3,,,,,,,,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,18021,3489,209,14323,108514,16480,37556,2197,47857,14667,447,15819
FL,10,1992,13504775,6133417,559175,8.40,,,,284673,,,279478775,214993,601172,221205,1403908,553621,241,303,364,111,203,292,370,444,595,720,41078,422,0,422,501,2139,15.6,1,74,46,0.62,23,17,0.58,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,266801,90302,3220,173279,1537926,240659,616732,88529,1144830,252495,13372,291832
GA,11,1992,6759474,3182777,227635,6.70,,,,160062,,,130474015,57623,388022,135972,754114,288901,235,280,330,111,203,292,370,438,572,696,21777,422,0,422,501,1177,17.7,1,145,35,0.81,45,11,0.80,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,3.25,177041,48514,2664,125863,863670,190107,369057,60137,913958,151982,13516,200348
HI,12,1992,1149926,551563,24446,4.20,,,,36129,,,27822975,20336,50424,16530,94265,39216,531,666,802,181,333,477,606,839,1078,1302,1228,422,5,427,608,133,11.2,1,45,6,0.88,22,3,0.88,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.75,15614,6293,169,9152,99666,18256,31952,9989,143049,12615,2231,24094
ID,13,1992,1066490,493767,33799,6.40,,,,20632,,,18285881,58530,19708,7335,71871,25960,254,315,357,111,203,292,370,457,607,715,942,422,70,492,550,166,15.2,1,28,56,0.33,21,21,0.50,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,13355,1991,145,11219,86924,28424,43984,14380,134711,9778,851,13233
IL,14,1992,11635197,5546722,471427,7.80,,,,306236,,,263739969,44734,687572,228625,1156380,488383,268,367,414,111,203,292,370,471,644,755,23468,422,0,422,501,1857,15.6,0,72,46,0.61,31,28,0.53,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,219508,33688,2506,183314,1313140,204254,470586,54693,933540,112109,3923,126134
IN,15,1992,5648649,2703403,174369,6.10,,,,124714,,,108377271,22557,199264,69134,447663,159702,229,288,346,111,203,292,370,432,580,707,6298,422,0,422,501,661,11.8,1,52,48,0.52,24,26,0.48,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,3.35,75401,10389,1192,63820,506829,130100,166605,31401,600877,33353,1863,41302
IA,16,1992,2806923,1441414,67732,4.50,,,,61870,,,52954404,8045,102540,37081,192289,76482,361,426,495,111,203,292,370,551,685,811,4097,422,0,422,501,328,11.5,0,55,45,0.55,28,22,0.56,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.065,,,0,4.25,4.65,37192,6965,1036,29191,278828,52543,85992,25443,382516,20273,2051,31278
KS,17,1992,2526042,1244438,60469,4.60,,,,56902,,,49913697,40585,84639,28741,174518,67737,347,422,488,111,203,292,370,541,682,806,3044,422,0,422,501,279,11.1,1,63,62,0.50,18,22,0.45,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,2.65,30113,4914,395,24804,226991,49297,84837,26704,303086,15041,1544,20015
KY,18,1992,3756358,1658511,123891,7.00,,,,77531,,,64578424,144052,229444,83133,528779,197286,196,228,285,111,203,292,370,399,520,655,11764,422,0,422,501,731,19.7,1,68,32,0.68,27,11,0.71,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,133493,27645,1913,103935,583089,100869,216165,35600,509698,106592,9425,142201
LA,19,1992,4270849,1787541,152539,7.90,,,,90890,,,72365694,43290,273747,92200,779290,277991,138,190,234,111,203,292,370,341,482,604,15618,422,0,422,501,1043,24.5,1,84,17,0.83,33,6,0.85,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,157100,37901,2301,116898,702264,130657,366543,48688,674140,180784,11046,215859
ME,20,1992,1235748,594082,45540,7.10,,,,24329,,,22558379,10432,68108,23920,132509,57775,337,453,569,111,203,292,370,534,704,863,1013,422,10,432,508,167,13.5,0,97,54,0.64,22,13,0.63,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,25757,6316,265,19176,162441,25940,40040,9128,104931,10378,1024,14908
MD,21,1992,4902545,2484910,174749,6.60,,,,119535,,,118712960,276366,220837,79807,342232,146155,294,377,454,111,203,292,370,497,651,783,9073,422,0,422,501,583,11.8,1,117,24,0.83,38,9,0.81,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.500,,,0,4.25,4.25,68537,15917,785,51835,377075,70405,135940,25338,343417,44053,4306,53916
MA,22,1992,5993474,2899718,281022,8.80,,,,167435,,,147234686,69066,309786,111448,428764,182892,446,539,628,111,203,292,370,610,764,904,9963,422,129,551,592,600,10.3,0,121,38,0.76,26,14,0.65,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,138361,46912,4488,86961,686235,93364,157129,20720,422370,61283,1953,70795
MI,23,1992,9470323,4234783,426913,9.20,,,,212057,,,191273822,167483,674235,225609,994230,405308,371,459,563,111,203,292,370,558,708,859,12918,422,14,436,511,1271,13.6,0,61,49,0.55,18,20,0.47,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,3.35,170599,25419,2188,142992,1129023,175339,293797,40688,720621,43017,1205,48581
MN,24,1992,4471503,2341011,126208,5.10,,,,114518,,,95783944,130601,191797,63656,308880,127850,437,532,621,111,203,292,370,604,759,900,4812,422,81,503,558,561,13.0,0,80,54,0.60,46,21,0.69,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.100,,,1,4.25,4.25,49349,10230,728,38391,406491,81265,125257,38932,497888,32867,2602,42210
MS,25,1992,2610193,1097672,99961,8.30,,,,44012,,,38440846,21111,177325,60810,535921,196084,96,120,144,111,203,292,370,299,412,514,11177,422,0,422,501,671,24.6,0,102,19,0.84,44,8,0.85,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,126301,37908,1583,86810,486861,109438,260150,30841,412169,126334,8078,147702
MO,26,1992,5193686,2502779,159668,6.00,,,,115288,,,100829070,43004,250690,85176,549476,214344,234,292,342,111,203,292,370,437,584,704,6859,422,0,422,501,795,15.7,1,97,65,0.60,23,11,0.68,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,98349,19657,1138,77554,554477,97320,191920,34514,547553,65333,4821,86429
MT,27,1992,822436,390362,26900,6.40,,,,14937,,,13921519,127188,32154,10909,66288,25439,311,390,469,111,203,292,370,514,660,793,729,422,0,422,501,118,13.8,0,61,39,0.61,29,21,0.58,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,11599,1812,123,9664,60186,18004,30173,7779,86530,6036,607,8021
NE,28,1992,1602406,817915,24013,2.90,,,,38214,,,31271593,5863,48187,16551,107342,42683,293,364,435,111,203,292,370,496,642,769,3281,422,30,452,522,169,10.6,1,,,,,,,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,18252,3419,255,14578,150791,29358,50317,18947,197450,9948,866,12614
NV,29,1992,1330694,677076,50482,6.90,,,,36052,,,29864046,450968,32198,11867,79740,36332,309,372,435,111,203,292,370,512,647,769,2257,422,36,458,526,199,14.7,1,22,20,0.52,11,10,0.52,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,14663,4983,539,9141,77525,16945,30425,5806,82872,12506,753,17167
NH,30,1992,1112766,568909,46739,7.60,,,,26332,,,24435468,93894,28273,10500,57704,24647,451,516,575,111,203,292,370,614,748,867,1423,422,27,449,520,97,8.7,0,128,270,0.32,11,13,0.46,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,8201,1374,103,6724,71179,18260,19556,5347,85691,4022,324,7351
NJ,31,1992,7827770,3709471,342449,8.50,,,,230774,,,207019518,171516,352710,125847,494110,200764,322,424,488,111,203,292,370,523,684,806,19940,422,31,453,523,803,10.3,1,43,37,0.54,22,17,0.56,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,5.05,124410,33585,1172,89653,697083,124835,215738,32859,493729,42144,2119,49099
NM,32,1992,1580750,680463,54984,7.50,,,,32638,,,25942277,26940,87806,28764,221321,76789,258,324,389,111,203,292,370,461,614,737,3668,422,0,422,501,348,21.6,1,49,21,0.70,26,16,0.62,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,3.35,36807,9657,610,26540,211805,42985,109032,17330,179417,38064,2791,45316
NY,33,1992,18082032,7979726,755216,8.60,,,,519704,,,450561960,1189438,1116986,397172,1885054,855470,468,577,687,111,203,292,370,625,791,946,33579,422,86,508,561,2820,15.7,1,95,55,0.63,26,35,0.43,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,491083,133596,4024,353463,2557701,373939,848249,108762,1551166,258493,16140,304744
NC,34,1992,6831850,3372068,223851,6.20,,,,159337,,,130258684,37074,313479,121427,596734,235917,236,272,297,111,203,292,370,439,564,667,21031,422,0,422,501,1080,15.8,0,81,39,0.68,36,14,0.72,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,3.80,166297,46623,2641,117033,785043,154722,299415,59627,739030,147712,12812,185828
ND,35,1992,635427,305056,15207,4.70,,,,12896,,,11257754,103873,18258,6394,45864,17758,326,401,491,111,203,292,370,526,668,809,370,422,0,422,501,74,12.1,1,48,58,0.45,27,26,0.51,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,8299,2122,96,6081,57068,18059,22183,7569,91170,3966,395,6614
OH,36,1992,11007609,5072649,402480,7.40,,,,250650,,,220866299,1857695,749076,264271,1250631,529061,274,334,413,111,203,292,370,477,621,754,33714,422,0,422,501,1398,12.5,0,61,38,0.62,12,21,0.36,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,190349,23180,2544,164625,1442289,229214,354211,51744,938789,108783,3643,122356
OK,37,1992,3204174,1432081,94849,6.20,,,,62209,,,55614006,206776,134865,46837,346019,135468,264,341,423,111,203,292,370,467,626,761,5052,422,64,486,546,607,18.6,1,69,32,0.68,37,11,0.77,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,66680,17915,998,47767,360039,73642,156028,37214,360788,70180,8998,95153
OR,38,1992,2973934,1448017,114346,7.30,,,,63392,,,57446094,105201,116072,41460,264857,114214,395,460,565,111,203,292,370,574,709,860,4444,422,2,424,503,346,11.4,1,28,32,0.47,20,10,0.67,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.75,38692,6834,634,31224,295320,60065,93495,19206,243231,29005,1810,35800
PA,39,1992,11980819,5455450,454373,7.70,,,,269849,,,253639845,306094,593928,200699,1137393,494549,330,421,514,111,203,292,370,529,682,825,18303,422,32,454,524,1425,11.9,0,107,96,0.53,24,26,0.48,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,219808,41599,2872,175337,1174779,225561,333513,61879,961401,76983,4208,94912
RI,40,1992,1000571,483329,46810,8.80,,,,22665,,,21082163,10737,59396,21289,87392,38293,449,554,632,111,203,292,370,612,775,907,1852,422,67,489,548,119,12.4,1,89,11,0.89,45,5,0.90,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.275,,,0,4.25,4.45,19714,5058,215,14441,213388,17732,27396,3521,53603,6022,77,6350
SC,41,1992,3600576,1673620,118924,6.60,,,,71848,,,61583163,90123,139553,49710,368751,132572,167,210,252,111,203,292,370,370,502,622,10600,422,0,422,501,697,19.0,0,80,41,0.66,34,11,0.76,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,98668,27285,1813,69570,431083,102961,215320,30094,449373,93474,6437,113960
SD,42,1992,708698,345996,12705,3.50,,,,14886,,,12644930,5953,20368,7223,54683,19267,357,404,450,111,203,292,370,548,670,780,1454,422,15,437,512,106,15.1,0,24,46,0.34,17,18,0.49,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,11706,2709,149,8848,64230,21411,33415,10931,103825,9545,893,12090
TN,43,1992,5013999,2316661,162798,6.60,,,,111660,,,93558292,59564,266125,95179,701642,279981,142,185,226,111,203,292,370,345,477,596,12831,422,0,422,501,858,17.0,1,56,43,0.57,20,13,0.61,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,159026,38615,2008,118403,785231,120873,230664,34341,577969,112345,9240,149790
TX,44,1992,17650479,8307176,684139,7.60,,,,416401,,,333256615,134600,757948,265819,2453964,890625,158,184,221,111,203,292,370,361,476,591,48782,422,0,422,501,3282,18.3,1,92,56,0.62,22,8,0.73,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,3.35,345186,124369,5461,215356,2024554,466280,1137793,133601,2061390,525268,29197,625239
UT,45,1992,1821498,845398,43874,4.90,,,,35602,,,29635837,116374,51829,17882,123198,44379,323,402,470,111,203,292,370,524,668,794,1916,422,5,427,505,172,9.4,0,31,44,0.41,10,19,0.34,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,16306,2052,305,13949,137264,50225,60901,27866,218690,8207,922,10573
VT,46,1992,570115,292288,20133,6.40,,,,12538,,,10848703,2782,28987,10047,53530,23290,567,673,755,111,203,292,370,695,858,993,535,422,65,487,547,61,10.5,0,73,75,0.49,16,14,0.53,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.280,,,1,4.25,4.25,11503,2318,128,9057,77502,15436,15337,3321,47340,3486,346,5365
VA,47,1992,6383315,3146997,206341,6.20,,,,158990,,,140101100,75076,188442,70677,495464,205888,294,354,410,111,203,292,370,497,635,752,12840,422,0,422,501,592,9.5,1,59,39,0.60,30,10,0.75,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,110086,29255,1603,79228,515064,103732,189174,36069,565358,83597,7300,114316
WA,48,1992,5139011,2445866,188716,7.20,,,,134469,,,111373047,876097,273466,96407,431489,177771,428,531,624,111,203,292,370,597,759,902,13270,422,28,450,521,574,11.2,1,58,40,0.59,24,25,0.49,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,74699,12188,892,61619,568673,73062,153657,32312,390906,57158,3521,69110
WV,49,1992,1805462,689628,87793,11.30,,,,30410,,,29050393,480253,118609,40469,309606,117140,201,249,312,111,203,292,370,404,541,682,4229,422,0,422,501,401,22.3,1,74,26,0.74,33,1,0.97,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,4.25,54745,8642,713,45390,308034,42469,86531,14730,185661,51276,5499,76017
WI,50,1992,5004636,2556294,138822,5.20,,,,112972,,,98871998,17417,243857,81680,333977,123182,440,517,617,111,203,292,370,606,749,897,10080,422,92,514,566,560,10.9,0,58,41,0.59,19,14,0.58,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.050,0.250,0.750,1,4.25,4.25,98186,20481,1175,76530,440136,82702,137811,30887,471080,19708,976,23406
WY,51,1992,463491,224562,13514,5.70,,,,13179,,,9019166,73351,18935,6625,33434,12249,320,360,390,111,203,292,370,522,639,738,549,422,20,442,515,49,10.3,1,22,42,0.34,10,20,0.33,0.0000,0.1760,0.1840,0,1324,1384,0.0000,0.1257,0.1314,0.000,,,0,4.25,1.60,4548,734,59,3755,42401,10716,15911,5204,58413,3131,394,4338
AL,1,1993,4193114,1850610,131031,6.60,,,,84563,,,74870710,52631,139752,51559,560047,215850,137,164,194,111,203,292,370,340,456,564,13579,434,0,434,513,725,17.4,0,82,23,0.78,28,7,0.80,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,4.25,155734,42496,1611,111627,521539,120762,262728,39431,547189,99798,6847,121959
AK,2,1993,596993,271258,22500,7.70,,,,23284,,,14672991,12094,36388,12129,43115,14299,821,923,1025,143,262,376,477,1006,1192,1364,905,434,374,808,878,52,9.1,0,23,17,0.58,10,10,0.50,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,4.75,5909,1204,109,4596,65079,11997,19766,4657,44005,4362,515,6095
AZ,3,1993,3993390,1836869,124956,6.40,,,,89300,,,74686213,227798,196539,69997,488650,178461,275,347,418,111,203,292,370,478,633,761,12828,434,0,434,513,615,15.4,0,27,33,0.45,17,13,0.57,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,4.25,63033,12985,817,49231,404030,90255,201425,27653,362058,85664,5389,100967
AR,4,1993,2423743,1106257,72178,6.10,,,,47566,,,41001582,24607,72714,26565,285026,106444,162,204,247,111,203,292,370,365,496,617,6614,434,0,434,513,484,20.0,1,90,9,0.91,31,4,0.89,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,4.25,90582,23335,1186,66061,339451,83519,143453,22642,306060,80288,6482,104863
CA,5,1993,31147208,13808306,1456231,9.50,,,,826447,,,711327055,1633657,2462489,859284,2865833,1075496,504,624,743,111,203,292,370,654,827,988,223455,434,186,620,643,5803,18.2,0,47,33,0.59,25,13,0.66,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,4.25,994213,335845,22602,635766,4833824,658466,1501559,141261,2222598,546561,18351,595651
CO,6,1993,3560884,1831489,102229,5.30,,,,95659,,,80051130,346894,123244,42543,272618,107551,280,356,432,111,203,292,370,483,639,771,5146,434,56,490,552,354,9.9,1,27,38,0.42,12,23,0.34,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,3.00,51055,9556,514,40985,280664,58967,112446,25277,294330,28033,1980,36299
CT,7,1993,3272325,1682262,114378,6.40,,,,107680,,,96133666,129028,161506,57315,215387,92752,549,680,792,111,203,292,370,685,866,1023,5530,434,313,747,732,277,8.5,0,87,64,0.58,20,16,0.56,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,4.27,40233,7597,525,32111,333685,65735,83737,14792,219614,29124,1968,37305
DE,8,1993,699475,353156,18562,5.00,,,,23509,,,16165390,14099,27672,11395,57885,21439,270,338,407,111,203,292,370,473,627,753,2424,434,0,434,513,73,10.2,1,17,24,0.41,15,6,0.71,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,4.25,9696,1684,124,7888,68934,15075,22714,3130,60784,9943,469,12251
DC,9,1993,576358,287731,26568,8.50,,,,45356,,,17789490,19632,66706,24784,86536,40676,321,409,499,111,203,292,370,524,676,817,4882,434,15,449,523,158,26.4,,,,,,,,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,4.25,18836,3453,204,15179,120256,16130,39360,1866,46383,14155,340,15019
FL,10,1993,13713593,6297070,489868,7.20,,,,304403,,,295218152,237139,694535,254006,1499857,606197,241,303,364,111,203,292,370,444,595,723,38225,434,0,434,513,2507,17.8,1,74,46,0.62,22,18,0.55,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,4.25,292769,93638,3260,195871,1744945,259084,662358,86747,1158968,266123,13725,305275
GA,11,1993,6894092,3278794,206798,5.90,,,,171659,,,138628534,57783,398329,141279,807337,314877,235,280,330,111,203,292,370,438,572,699,22356,434,0,434,513,919,13.5,1,145,35,0.81,45,11,0.80,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,3.25,186808,47024,2648,137136,955262,196035,394971,61360,933338,176825,15222,231471
HI,12,1993,1161508,556331,25414,4.40,,,,36732,,,28811486,21533,55876,18339,102953,43758,550,693,835,182,335,480,609,860,1105,1333,1406,434,5,439,621,91,8.0,1,45,6,0.88,22,3,0.88,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,5.25,16967,6898,159,9910,109970,22159,34661,9928,142878,13419,2091,24748
ID,13,1993,1101204,516307,33456,6.10,,,,23100,,,20079820,75059,21295,7938,79275,28645,254,315,357,111,203,292,370,457,607,718,872,434,65,499,558,150,13.1,1,28,56,0.33,21,21,0.50,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,4.25,14477,2000,142,12335,99515,30598,46820,14856,137750,12557,1170,17197
IL,14,1993,11725984,5625103,448531,7.40,,,,320079,,,272422250,43331,688864,231262,1179488,493429,268,367,414,111,203,292,370,471,647,758,24145,434,0,434,513,1600,13.6,0,72,46,0.61,31,28,0.53,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,4.25,244950,35029,2526,207395,1395566,214325,483709,54392,934700,125122,4825,142733
IN,15,1993,5701965,2800739,147592,5.00,,,,132108,,,114120740,24254,210821,73013,496641,184281,229,288,346,111,203,292,370,432,580,710,7859,434,0,434,513,704,12.2,1,52,48,0.52,24,26,0.48,0.0000,0.1850,0.1950,0,1434,1511,0.0000,0.1321,0.1393,0.000,,,0,4.25,3.35,81976,10247,1135,70594,564952,136933,174511,32043,597654,41574,2417,52151
